,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,text,contains_image,contains_table,extracted_text,class
30,30,30,30,"<<START_SECTION>>Indication Recommended IMFINZI dosage Duration of Therapy Locally Advanced NSCLC 10 mg/kg every 2 weeks or 1500 mg every 4 weeksa For one year or until disease progression or unacceptable toxicity Indication Recommended IMFINZI dosage Duration of Therapy ES-SCLC 1500 mgb in combination with chemotherapyc,d every 3 weeks  (21 days) for 4 cycles, followed by 1500 mg every 4 weeks as monotherapy Until disease progression or unacceptable toxicity <<END_SECTION>>",0,1,"Indication Recommended IMFINZI dosage Duration of Therapy Locally Advanced NSCLC 10 mg/kg every 2 weeks or 1500 mg every 4 weeksa For one year or until disease progression or unacceptable toxicity Indication Recommended IMFINZI dosage Duration of Therapy ES-SCLC 1500 mgb in combination with chemotherapyc,d every 3 weeks  (21 days) for 4 cycles, followed by 1500 mg every 4 weeks as monotherapy Until disease progression or unacceptable toxicity ",2.0
31,31,31,31,"<<START_SECTION>>Patients with a body weight of 30 kg or less must receive weight-based dosing, equivalent to IMFINZI 10 mg/kg every 2 weeks as monotherapy until weight increases to greater than 30 kg.  <<END_SECTION>>",0,0,"Patients with a body weight of 30 kg or less must receive weight-based dosing, equivalent to IMFINZI 10 mg/kg every 2 weeks as monotherapy until weight increases to greater than 30 kg.  ",2.0
32,32,32,32,"<<START_SECTION>>Patients with a body weight of 30 kg or less must receive weight-based dosing, equivalent to IMFINZI 20 mg/kg in combination with chemotherapy every 3 weeks (21 days) for 4 cycles, followed by 10 mg/kg every 2 weeks as monotherapy until weight increases to greater than 30 kg. <<END_SECTION>>",0,0,"Patients with a body weight of 30 kg or less must receive weight-based dosing, equivalent to IMFINZI 20 mg/kg in combination with chemotherapy every 3 weeks (21 days) for 4 cycles, followed by 10 mg/kg every 2 weeks as monotherapy until weight increases to greater than 30 kg. ",2.0
33,33,33,33,<<START_SECTION>>Administer IMFINZI prior to chemotherapy when given on the same day. <<END_SECTION>>,0,0,Administer IMFINZI prior to chemotherapy when given on the same day. ,2.0
34,34,34,34,"<<START_SECTION>>When IMFINZI is administered in combination with chemotherapy, refer also to the Product Information for etoposide, and carboplatin or cisplatin, and to Section 5.1 for dosing information in the CASPIAN study. <<END_SECTION>>",0,0,"When IMFINZI is administered in combination with chemotherapy, refer also to the Product Information for etoposide, and carboplatin or cisplatin, and to Section 5.1 for dosing information in the CASPIAN study. ",2.0
35,35,35,35,<<START_SECTION>> <<END_SECTION>>,0,0, ,2.0
36,36,36,36,<<START_SECTION>>It is recommended to continue treatment for clinically stable patients with initial evidence of disease progression until disease progression is confirmed. <<END_SECTION>>,0,0,It is recommended to continue treatment for clinically stable patients with initial evidence of disease progression until disease progression is confirmed. ,2.0
37,37,37,37,<<START_SECTION>>Dose escalation or reduction is not recommended. Dose withholding or discontinuation may be required based on individual safety and tolerability.  <<END_SECTION>>,0,0,Dose escalation or reduction is not recommended. Dose withholding or discontinuation may be required based on individual safety and tolerability.  ,2.0
38,38,38,38,"<<START_SECTION>>No dose reduction or escalation for IMFINZI is recommended. In general, withhold IMFINZI for severe (Grade 3) immune-mediated adverse reactions. Permanently discontinue IMFINZI for lifethreatening (Grade 4) immune-mediated adverse reactions, recurrent severe (Grade 3) immunemediated reactions that require systemic immunosuppressive treatment, or an inability to reduce corticosteroid dose to 10 mg or less of prednisone or equivalent per day within 12 weeks of initiating corticosteroids. <<END_SECTION>>",0,0,"No dose reduction or escalation for IMFINZI is recommended. In general, withhold IMFINZI for severe (Grade 3) immune-mediated adverse reactions. Permanently discontinue IMFINZI for lifethreatening (Grade 4) immune-mediated adverse reactions, recurrent severe (Grade 3) immunemediated reactions that require systemic immunosuppressive treatment, or an inability to reduce corticosteroid dose to 10 mg or less of prednisone or equivalent per day within 12 weeks of initiating corticosteroids. ",2.0
39,39,39,39,<<START_SECTION>>Immune-mediated adverse reactions requiring specific management are summarized in Table 2.  <<END_SECTION>>,0,0,Immune-mediated adverse reactions requiring specific management are summarized in Table 2.  ,2.0
40,40,40,40,<<START_SECTION>>Refer to Section 4.4 Special warnings and precautions for use for further monitoring and evaluation information. <<END_SECTION>>,0,0,Refer to Section 4.4 Special warnings and precautions for use for further monitoring and evaluation information. ,2.0
41,41,41,41,<<START_SECTION>>Table 2 	Recommended treatment modifications and management for adverse reactions <<END_SECTION>>,0,0,Table 2 	Recommended treatment modifications and management for adverse reactions ,2.0
42,42,42,42,<<START_SECTION>>Adverse reactions Severitya IMFINZI treatment modification Additional management advice Pneumonitis/ interstitial lung disease Grade 2 Withhold dose Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper 1 to 4 mg/kg/day prednisone or equivalent followed by a taper Pneumonitis/ interstitial lung disease Grade 3 or 4 Permanently discontinue Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper 1 to 4 mg/kg/day prednisone or equivalent followed by a taper Hepatitis Grade 2 with ALT or AST > 3-5 x ULN and/or total bilirubin > 1.5-3 x ULN Withhold dose Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper Hepatitis Grade 3 with AST or ALT > 5-≤ 8 x ULN or total bilirubin > 3 - ≤ 5 x ULN Withhold dose Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper Hepatitis Grade 3 with AST or ALT > 8 x ULN or total Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper bilirubin > 5 x ULN Permanently discontinue Concurrent ALT or AST > 3 x ULN and total bilirubin > 2 x ULN with no other cause Permanently discontinue <<END_SECTION>>,0,1,Adverse reactions Severitya IMFINZI treatment modification Additional management advice Pneumonitis/ interstitial lung disease Grade 2 Withhold dose Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper 1 to 4 mg/kg/day prednisone or equivalent followed by a taper Pneumonitis/ interstitial lung disease Grade 3 or 4 Permanently discontinue Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper 1 to 4 mg/kg/day prednisone or equivalent followed by a taper Hepatitis Grade 2 with ALT or AST > 3-5 x ULN and/or total bilirubin > 1.5-3 x ULN Withhold dose Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper Hepatitis Grade 3 with AST or ALT > 5-≤ 8 x ULN or total bilirubin > 3 - ≤ 5 x ULN Withhold dose Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper Hepatitis Grade 3 with AST or ALT > 8 x ULN or total Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper bilirubin > 5 x ULN Permanently discontinue Concurrent ALT or AST > 3 x ULN and total bilirubin > 2 x ULN with no other cause Permanently discontinue ,2.0
43,43,43,43,<<START_SECTION>> <<END_SECTION>>,0,0, ,2.0
44,44,44,44,"<<START_SECTION>>Colitis or diarrhoea Grade 2 Withhold dose Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper Colitis or diarrhoea Grade 3 or 4 Permanently discontinue Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper Endocrinopathies: Hyperthyroidism, Thyroiditis Grade 2-4  Withhold dose until clinically stable Symptomatic management  Endocrinopathies:  Hypothyroidism Grade 2-4 No changes Initiate thyroid hormone replacement as clinically indicated Endocrinopathies:  Adrenal insufficiency, Hypophysitis/ hypopituitarism Grade 2-4 Withhold dose until clinically stable Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper and hormone replacement as clinically indicated Endocrinopathies:  Type 1 diabetes mellitus Grade 2-4 No changes Initiate treatment with insulin as clinically indicated Nephritis Grade 2 with serum creatinine > 1.5-3 x  (ULN or baseline) Withhold dose Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper Nephritis Grade 3 with serum creatinine > 3 x baseline or > 3-6 x ULN;  Grade 4 with serum creatinine > 6 x ULN Permanently discontinue Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper Rash or dermatitis (including pemphigoid) Grade 2  	for > 1 week or Grade 3 Withhold dose Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper Rash or dermatitis (including pemphigoid) Grade 4 Permanently discontinue Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper Myocarditis Grade 2 Withhold doseb Initiate 2 to 4 mg/kg/day prednisone or equivalent followed by a taper Myocarditis Grade 3 or 4, or any Grade with positive biopsy Permanently discontinue Initiate 2 to 4 mg/kg/day prednisone or equivalent followed by a taper Myositis/ polymyositis Grade 2 or 3 Withhold dosec Initiate 1 to 4 mg/kg/day prednisone or equivalent followed by a taper Myositis/ polymyositis Grade 4 Permanently discontinue Initiate 1 to 4 mg/kg/day prednisone or equivalent followed by a taper Infusion-related reactions Grade 1 or 2  Interrupt or slow the rate of infusion May consider premedications for prophylaxis of subsequent infusion reactions Infusion-related reactions Grade 3 or 4  Permanently discontinue  Infection Grade 3 or 4 Withhold dose until clinically stable  Other immunemediated  adverse reactionse Grade 3 Withhold dosed Initiate 1 mg/kg/day to 4 mg/kg/day prednisone or equivalent followed by a taper Other immunemediated  adverse reactionse Grade 4 Permanently discontinue Initiate 1 mg/kg/day to 4 mg/kg/day prednisone or equivalent followed by a taper <<END_SECTION>>",0,1,"Colitis or diarrhoea Grade 2 Withhold dose Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper Colitis or diarrhoea Grade 3 or 4 Permanently discontinue Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper Endocrinopathies: Hyperthyroidism, Thyroiditis Grade 2-4  Withhold dose until clinically stable Symptomatic management  Endocrinopathies:  Hypothyroidism Grade 2-4 No changes Initiate thyroid hormone replacement as clinically indicated Endocrinopathies:  Adrenal insufficiency, Hypophysitis/ hypopituitarism Grade 2-4 Withhold dose until clinically stable Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper and hormone replacement as clinically indicated Endocrinopathies:  Type 1 diabetes mellitus Grade 2-4 No changes Initiate treatment with insulin as clinically indicated Nephritis Grade 2 with serum creatinine > 1.5-3 x  (ULN or baseline) Withhold dose Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper Nephritis Grade 3 with serum creatinine > 3 x baseline or > 3-6 x ULN;  Grade 4 with serum creatinine > 6 x ULN Permanently discontinue Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper Rash or dermatitis (including pemphigoid) Grade 2  	for > 1 week or Grade 3 Withhold dose Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper Rash or dermatitis (including pemphigoid) Grade 4 Permanently discontinue Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper Myocarditis Grade 2 Withhold doseb Initiate 2 to 4 mg/kg/day prednisone or equivalent followed by a taper Myocarditis Grade 3 or 4, or any Grade with positive biopsy Permanently discontinue Initiate 2 to 4 mg/kg/day prednisone or equivalent followed by a taper Myositis/ polymyositis Grade 2 or 3 Withhold dosec Initiate 1 to 4 mg/kg/day prednisone or equivalent followed by a taper Myositis/ polymyositis Grade 4 Permanently discontinue Initiate 1 to 4 mg/kg/day prednisone or equivalent followed by a taper Infusion-related reactions Grade 1 or 2  Interrupt or slow the rate of infusion May consider premedications for prophylaxis of subsequent infusion reactions Infusion-related reactions Grade 3 or 4  Permanently discontinue  Infection Grade 3 or 4 Withhold dose until clinically stable  Other immunemediated  adverse reactionse Grade 3 Withhold dosed Initiate 1 mg/kg/day to 4 mg/kg/day prednisone or equivalent followed by a taper Other immunemediated  adverse reactionse Grade 4 Permanently discontinue Initiate 1 mg/kg/day to 4 mg/kg/day prednisone or equivalent followed by a taper ",2.0
45,45,45,45,"<<START_SECTION>>Common Terminology Criteria for Adverse Events, version 4.03. ALT: alanine aminotransferase; AST: aspartate aminotransferase; ULN: upper limit of normal. <<END_SECTION>>",0,0,"Common Terminology Criteria for Adverse Events, version 4.03. ALT: alanine aminotransferase; AST: aspartate aminotransferase; ULN: upper limit of normal. ",2.0
46,46,46,46,"<<START_SECTION>>If no improvement within 3 to 5 days despite corticosteroids, promptly start additional immunosuppressive therapy. Upon resolution (Grade 0), corticosteroid taper should be initiated and continued over at least 1 month, after which IMFINZI can be resumed based on clinical judgment. <<END_SECTION>>",0,0,"If no improvement within 3 to 5 days despite corticosteroids, promptly start additional immunosuppressive therapy. Upon resolution (Grade 0), corticosteroid taper should be initiated and continued over at least 1 month, after which IMFINZI can be resumed based on clinical judgment. ",2.0
47,47,47,47,<<START_SECTION>>Permanently discontinue IMFINZI if adverse reaction does not resolve to ≤ Grade 1 within 30 days or if there are signs of respiratory insufficiency. <<END_SECTION>>,0,0,Permanently discontinue IMFINZI if adverse reaction does not resolve to ≤ Grade 1 within 30 days or if there are signs of respiratory insufficiency. ,2.0
48,48,48,48,"<<START_SECTION>>Permanently discontinue IMFINZI if adverse reaction does not resolve to ≤ Grade 1 within 30 days or if there are signs of respiratory insufficiency; and, in addition to these signs, for myasthenia gravis, if there are signs of autonomic insufficiency. <<END_SECTION>>",0,0,"Permanently discontinue IMFINZI if adverse reaction does not resolve to ≤ Grade 1 within 30 days or if there are signs of respiratory insufficiency; and, in addition to these signs, for myasthenia gravis, if there are signs of autonomic insufficiency. ",2.0
49,49,49,49,<<START_SECTION>>Includes immune thrombocytopenia. <<END_SECTION>>,0,0,Includes immune thrombocytopenia. ,2.0
50,50,50,50,<<START_SECTION>> <<END_SECTION>>,0,0, ,2.0
51,51,51,51,"<<START_SECTION>>For suspected immune-mediated adverse reactions, adequate evaluation should be performed to confirm aetiology or exclude alternate aetiologies. Upon improvement to ≤ Grade 1, corticosteroid taper should be initiated and continued over at least 1 month. Consider increasing dose of corticosteroids and/or using additional systemic immunosuppressants if there is worsening or no improvement. After withhold, IMFINZI can be resumed within 12 weeks if the adverse reactions improved to ≤ Grade 1 and the corticosteroid dose has been reduced to ≤ 10 mg prednisone or equivalent per day. IMFINZI should be permanently discontinued for recurrent Grade 3 or 4 (severe or life-threatening) immune-mediated adverse reactions.  <<END_SECTION>>",0,0,"For suspected immune-mediated adverse reactions, adequate evaluation should be performed to confirm aetiology or exclude alternate aetiologies. Upon improvement to ≤ Grade 1, corticosteroid taper should be initiated and continued over at least 1 month. Consider increasing dose of corticosteroids and/or using additional systemic immunosuppressants if there is worsening or no improvement. After withhold, IMFINZI can be resumed within 12 weeks if the adverse reactions improved to ≤ Grade 1 and the corticosteroid dose has been reduced to ≤ 10 mg prednisone or equivalent per day. IMFINZI should be permanently discontinued for recurrent Grade 3 or 4 (severe or life-threatening) immune-mediated adverse reactions.  ",2.0
52,52,52,52,"<<START_SECTION>>For non-immune-mediated adverse reactions, withhold IMFINZI for Grade 2 and 3 adverse reactions until ≤ Grade 1 or baseline. IMFINZI should be discontinued for Grade 4 adverse reactions (with the exception of Grade 4 laboratory abnormalities, about which the decision to discontinue should be based on accompanying clinical signs/symptoms and clinical judgment). <<END_SECTION>> ",0,0,"For non-immune-mediated adverse reactions, withhold IMFINZI for Grade 2 and 3 adverse reactions until ≤ Grade 1 or baseline. IMFINZI should be discontinued for Grade 4 adverse reactions (with the exception of Grade 4 laboratory abnormalities, about which the decision to discontinue should be based on accompanying clinical signs/symptoms and clinical judgment). ",2.0
53,53,53,53,,0,0,,
54,54,54,54,<<START_SUBHEADING>>Special patient populations <<END_SUBHEADING>>,0,0,Special patient populations ,1.0
55,55,55,55,<<START_SUBHEADING>>Renal impairment <<END_SUBHEADING>>,0,0,Renal impairment ,1.0
56,56,56,56,<<START_SECTION>>No dose adjustment is recommended for patients with mild or moderate renal impairment (see Section 5.2 Pharmacokinetic properties). Durvalumab has not been studied in subjects with severe renal impairment. <<END_SECTION>> ,0,0,No dose adjustment is recommended for patients with mild or moderate renal impairment (see Section 5.2 Pharmacokinetic properties). Durvalumab has not been studied in subjects with severe renal impairment. ,2.0
57,57,57,57,,0,0,,
58,58,58,58,<<START_SUBHEADING>>Hepatic impairment <<END_SUBHEADING>>,0,0,Hepatic impairment ,1.0
59,59,59,59,"<<START_SECTION>>No dose adjustment is recommended for patients with hepatic impairment. Data from patients with moderate and severe hepatic impairment are limited, however, due to minor involvement of hepatic processes in the clearance of durvalumab, no difference in exposure is expected for these patients (see Section 5.2 Pharmacokinetic properties). <<END_SECTION>> ",0,0,"No dose adjustment is recommended for patients with hepatic impairment. Data from patients with moderate and severe hepatic impairment are limited, however, due to minor involvement of hepatic processes in the clearance of durvalumab, no difference in exposure is expected for these patients (see Section 5.2 Pharmacokinetic properties). ",2.0
60,60,60,60,,0,0,,
61,61,61,61,<<START_SUBHEADING>>Use in paediatric patients <<END_SUBHEADING>>,0,0,Use in paediatric patients ,1.0
62,62,62,62,<<START_SECTION>>The safety and efficacy of durvalumab have not been established in patients younger than 18 years of age.   <<END_SECTION>> ,0,0,The safety and efficacy of durvalumab have not been established in patients younger than 18 years of age.   ,2.0
63,63,63,63,,0,0,,
64,64,64,64,<<START_SUBHEADING>>Use in the elderly <<END_SUBHEADING>>,0,0,Use in the elderly ,1.0
65,65,65,65,<<START_SECTION>>No dose adjustment is required for elderly patients (≥65 years of age) (see Section 5.1 Pharmacodynamic properties - Clinical trials and Section 5.2 Pharmacokinetic properties). <<END_SECTION>> ,0,0,No dose adjustment is required for elderly patients (≥65 years of age) (see Section 5.1 Pharmacodynamic properties - Clinical trials and Section 5.2 Pharmacokinetic properties). ,2.0
66,66,66,66,,0,0,,
67,67,67,67,<<START_SUBHEADING>>Method of administration<<END_SUBHEADING>> ,0,0,Method of administration,1.0
68,68,68,68,<<START_SUBHEADING>>Preparation of solution<<END_SUBHEADING>> ,0,0,Preparation of solution,1.0
69,69,69,69,<<START_SECTION>>IMFINZI is supplied as single-dose vials and does not contain any preservatives. Aseptic technique must be observed. <<END_SECTION>>,0,0,IMFINZI is supplied as single-dose vials and does not contain any preservatives. Aseptic technique must be observed. ,2.0
70,70,70,70,"<<START_SECTION>>Visually inspect drug product for particulate matter and discolouration. IMFINZI is a clear to opalescent, colourless to slightly yellow solution. Discard the vial if the solution is cloudy, discoloured or visible particles are observed. Do not shake the vial. <<END_SECTION>>",0,0,"Visually inspect drug product for particulate matter and discolouration. IMFINZI is a clear to opalescent, colourless to slightly yellow solution. Discard the vial if the solution is cloudy, discoloured or visible particles are observed. Do not shake the vial. ",2.0
71,71,71,71,"<<START_SECTION>>Withdraw the required volume from the vial(s) of IMFINZI and transfer into an intravenous (IV) bag containing 0.9% Sodium Chloride Injection, or 5% Dextrose Injection. Mix diluted solution by gentle inversion. The final concentration of the diluted solution should be between 1 mg/mL and 15 mg/mL. Do not freeze or shake the solution. <<END_SECTION>>",0,0,"Withdraw the required volume from the vial(s) of IMFINZI and transfer into an intravenous (IV) bag containing 0.9% Sodium Chloride Injection, or 5% Dextrose Injection. Mix diluted solution by gentle inversion. The final concentration of the diluted solution should be between 1 mg/mL and 15 mg/mL. Do not freeze or shake the solution. ",2.0
72,72,72,72,<<START_SECTION>><<END_SECTION>>,0,0,,2.0
73,73,73,73,<<START_SECTION>>Care must be taken to ensure the sterility of prepared solutions. <<END_SECTION>>,0,0,Care must be taken to ensure the sterility of prepared solutions. ,2.0
74,74,74,74,<<START_SECTION>>Do not re-enter the vial after withdrawal of drug; only withdraw one dose per vial. <<END_SECTION>>,0,0,Do not re-enter the vial after withdrawal of drug; only withdraw one dose per vial. ,2.0
75,75,75,75,<<START_SECTION>>Discard any unused portion left in the vial. <<END_SECTION>>,0,0,Discard any unused portion left in the vial. ,2.0
76,76,76,76,<<START_SECTION>>No incompatibilities between IMFINZI and 9 g/L (0.9%) sodium chloride or 50 g/L (5%) dextrose in polyvinylchloride or polyolefin IV bags have been observed. <<END_SECTION>>,0,0,No incompatibilities between IMFINZI and 9 g/L (0.9%) sodium chloride or 50 g/L (5%) dextrose in polyvinylchloride or polyolefin IV bags have been observed. ,2.0
77,77,77,77,<<START_SECTION>><<END_SECTION>> ,0,0,,2.0
78,78,78,78,,0,0,,
79,79,79,79,<<START_SUBHEADING>>After preparation of infusion solution<<END_SUBHEADING>> ,0,0,After preparation of infusion solution,1.0
80,80,80,80,"<<START_SECTION>>IMFINZI does not contain a preservative. Administer infusion solution immediately once prepared. If infusion solution is not administered immediately and it needs to be stored, the total time from vial puncture to the start of administration should not exceed: <<END_SECTION>>",0,0,"IMFINZI does not contain a preservative. Administer infusion solution immediately once prepared. If infusion solution is not administered immediately and it needs to be stored, the total time from vial puncture to the start of administration should not exceed: ",2.0
81,81,81,81,<<START_SECTION>>24 hours at 2°C to 8°C <<END_SECTION>>,0,0,24 hours at 2°C to 8°C ,2.0
82,82,82,82,<<START_SECTION>>12 hours at room temperature. <<END_SECTION>>,0,0,12 hours at room temperature. ,2.0
83,83,83,83,<<START_SECTION>><<END_SECTION>> ,0,0,,2.0
84,84,84,84,,0,0,,
85,85,85,85,<<START_SUBHEADING>>Administration<<END_SUBHEADING>> ,0,0,Administration,1.0
86,86,86,86,"<<START_SECTION>>Administer infusion solution intravenously over 1 hour through an intravenous line containing a sterile, low-protein binding 0.2 or 0.22 micron in-line filter. <<END_SECTION>>",0,0,"Administer infusion solution intravenously over 1 hour through an intravenous line containing a sterile, low-protein binding 0.2 or 0.22 micron in-line filter. ",2.0
87,87,87,87,<<START_SECTION>>Do not co-administer other drugs through the same infusion line. <<END_SECTION>> ,0,0,Do not co-administer other drugs through the same infusion line. ,2.0
88,88,88,88,,0,0,,
89,89,89,89,<<START_SUBHEADING>>4.3 	Contraindications<<END_SUBHEADING>> ,0,0,4.3 	Contraindications,1.0
90,90,90,90,<<START_SECTION>>Hypersensitivity to the active substance or to any of the excipients listed in section 6.1. <<END_SECTION>> ,0,0,Hypersensitivity to the active substance or to any of the excipients listed in section 6.1. ,2.0
91,91,91,91,,0,0,,
92,92,92,92,<<START_SUBHEADING>>4.4 	Special warnings and precautions for use<<END_SUBHEADING>> ,0,0,4.4 	Special warnings and precautions for use,1.0
93,93,93,93,<<START_SECTION>>Refer to Section 4.2 Dose and method of administration Table 2 for recommended treatment modifications and management of adverse reactions. <<END_SECTION>> ,0,0,Refer to Section 4.2 Dose and method of administration Table 2 for recommended treatment modifications and management of adverse reactions. ,2.0
94,94,94,94,,0,0,,
95,95,95,95,<<START_SUBHEADING>>Immune-mediated adverse reactions<<END_SUBHEADING>> ,0,0,Immune-mediated adverse reactions,1.0
96,96,96,96,"<<START_SECTION>>Immune checkpoint inhibitors, including durvalumab, can cause severe and fatal immune-mediated adverse reactions, which may involve any organ system. While immune-mediated reactions usually manifest during treatment, they can also manifest after discontinuation.  Early identification of such reactions and timely intervention are an important part of the safe use of durvalumab. In clinical trials, most immune-mediated adverse reactions were reversible and managed with interruptions of durvalumab, administration of corticosteroids and/or supportive care. Patients should be monitored for signs and symptoms and managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). <<END_SECTION>> ",0,0,"Immune checkpoint inhibitors, including durvalumab, can cause severe and fatal immune-mediated adverse reactions, which may involve any organ system. While immune-mediated reactions usually manifest during treatment, they can also manifest after discontinuation.  Early identification of such reactions and timely intervention are an important part of the safe use of durvalumab. In clinical trials, most immune-mediated adverse reactions were reversible and managed with interruptions of durvalumab, administration of corticosteroids and/or supportive care. Patients should be monitored for signs and symptoms and managed as recommended in Table 2 (see Section 4.2 Dose and method of administration). ",2.0
97,97,97,97,,0,0,,
98,98,98,98,<<START_SUBHEADING>>Immune-mediated pneumonitis<<END_SUBHEADING>> ,0,0,Immune-mediated pneumonitis,1.0
