,text,contains_image,contains_table,extracted_text,class
63,<<START_SECTION>>bilirubin > 5 x ULN<<END_SECTION>>,0,0,bilirubin > 5 x ULN,2.0
64,<<START_SECTION>>Permanently discontinue<<END_SECTION>>,0,0,Permanently discontinue,2.0
65,<<START_SECTION>>Concurrent ALT or AST > 3 x ULN and total bilirubin > 2 x ULN with no other cause<<END_SECTION>>,0,0,Concurrent ALT or AST > 3 x ULN and total bilirubin > 2 x ULN with no other cause,2.0
66,<<START_SECTION>>Colitis or diarrhoea<<END_SECTION>>,0,0,Colitis or diarrhoea,2.0
67,<<START_SECTION>>Grade 2<<END_SECTION>>,0,0,Grade 2,2.0
68,<<START_SECTION>>Withhold dose<<END_SECTION>>,0,0,Withhold dose,2.0
69,<<START_SECTION>>Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper<<END_SECTION>>,0,0,Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper,2.0
70,<<START_SECTION>>Grade 3 or 4<<END_SECTION>>,0,0,Grade 3 or 4,2.0
71,<<START_SECTION>>Permanently discontinue<<END_SECTION>>,0,0,Permanently discontinue,2.0
72,<<START_SECTION>>Endocrinopathies:<<END_SECTION>>,0,0,Endocrinopathies:,2.0
73,"<<START_SECTION>>Hyperthyroidism,<<END_SECTION>>",0,0,"Hyperthyroidism,",2.0
74,<<START_SECTION>>Thyroiditis<<END_SECTION>>,0,0,Thyroiditis,2.0
75,<<START_SECTION>>Grade 2-4<<END_SECTION>>,0,0,Grade 2-4,2.0
76,<<START_SECTION>>Withhold dose until clinically stable<<END_SECTION>>,0,0,Withhold dose until clinically stable,2.0
77,<<START_SECTION>>Symptomatic management<<END_SECTION>>,0,0,Symptomatic management,2.0
78,<<START_SECTION>>Endocrinopathies:<<END_SECTION>>,0,0,Endocrinopathies:,2.0
79,<<START_SECTION>>Hypothyroidism<<END_SECTION>>,0,0,Hypothyroidism,2.0
80,<<START_SECTION>>Grade 2-4<<END_SECTION>>,0,0,Grade 2-4,2.0
81,<<START_SECTION>>No changes<<END_SECTION>>,0,0,No changes,2.0
82,<<START_SECTION>>Initiate thyroid hormone replacement as clinically indicated<<END_SECTION>>,0,0,Initiate thyroid hormone replacement as clinically indicated,2.0
83,"<<START_SECTION>>Endocrinopathies:  Adrenal insufficiency, Hypophysitis/ hypopituitarism<<END_SECTION>>",0,0,"Endocrinopathies:  Adrenal insufficiency, Hypophysitis/ hypopituitarism",2.0
84,<<START_SECTION>>Grade 2-4<<END_SECTION>>,0,0,Grade 2-4,2.0
85,<<START_SECTION>>Withhold dose until clinically stable<<END_SECTION>>,0,0,Withhold dose until clinically stable,2.0
86,<<START_SECTION>>Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper and hormone replacement as clinically indicated<<END_SECTION>>,0,0,Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper and hormone replacement as clinically indicated,2.0
87,<<START_SECTION>>Endocrinopathies:  Type 1 diabetes<<END_SECTION>>,0,0,Endocrinopathies:  Type 1 diabetes,2.0
88,<<START_SECTION>>mellitus<<END_SECTION>>,0,0,mellitus,2.0
89,<<START_SECTION>>Grade 2-4<<END_SECTION>>,0,0,Grade 2-4,2.0
90,<<START_SECTION>>No changes<<END_SECTION>>,0,0,No changes,2.0
91,<<START_SECTION>>Initiate treatment with insulin as clinically<<END_SECTION>>,0,0,Initiate treatment with insulin as clinically,2.0
92,<<START_SECTION>>indicated<<END_SECTION>>,0,0,indicated,2.0
93,<<START_SECTION>>Nephritis<<END_SECTION>>,0,0,Nephritis,2.0
94,<<START_SECTION>>Grade 2 with serum creatinine > 1.5-3 x  (ULN or baseline)<<END_SECTION>>,0,0,Grade 2 with serum creatinine > 1.5-3 x  (ULN or baseline),2.0
95,<<START_SECTION>>Withhold dose<<END_SECTION>>,0,0,Withhold dose,2.0
96,<<START_SECTION>>Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper<<END_SECTION>>,0,0,Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper,2.0
97,<<START_SECTION>>Grade 3 with serum creatinine > 3 x baseline or > 3-6 x ULN;<<END_SECTION>>,0,0,Grade 3 with serum creatinine > 3 x baseline or > 3-6 x ULN;,2.0
98,<<START_SECTION>>Grade 4 with serum creatinine > 6 x ULN<<END_SECTION>>,0,0,Grade 4 with serum creatinine > 6 x ULN,2.0
99,<<START_SECTION>>Permanently discontinue<<END_SECTION>>,0,0,Permanently discontinue,2.0
100,<<START_SECTION>>Rash or dermatitis<<END_SECTION>>,0,0,Rash or dermatitis,2.0
101,<<START_SECTION>>(including pemphigoid)<<END_SECTION>>,0,0,(including pemphigoid),2.0
102,<<START_SECTION>>Grade 2  	for > 1 week or Grade 3<<END_SECTION>>,0,0,Grade 2  	for > 1 week or Grade 3,2.0
103,<<START_SECTION>>Withhold dose<<END_SECTION>>,0,0,Withhold dose,2.0
104,<<START_SECTION>>Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper<<END_SECTION>>,0,0,Initiate 1 to 2 mg/kg/day prednisone or equivalent followed by a taper,2.0
105,<<START_SECTION>>Grade 4<<END_SECTION>>,0,0,Grade 4,2.0
106,<<START_SECTION>>Permanently discontinue<<END_SECTION>>,0,0,Permanently discontinue,2.0
107,<<START_SECTION>>Myocarditis<<END_SECTION>>,0,0,Myocarditis,2.0
108,<<START_SECTION>>Grade 2<<END_SECTION>>,0,0,Grade 2,2.0
109,<<START_SECTION>>Withhold doseb<<END_SECTION>>,0,0,Withhold doseb,2.0
110,<<START_SECTION>>Initiate 2 to 4 mg/kg/day prednisone or equivalent followed by a taper<<END_SECTION>>,0,0,Initiate 2 to 4 mg/kg/day prednisone or equivalent followed by a taper,2.0
111,"<<START_SECTION>>Grade 3 or 4, or any Grade with positive biopsy<<END_SECTION>>",0,0,"Grade 3 or 4, or any Grade with positive biopsy",2.0
112,<<START_SECTION>>Permanently discontinue<<END_SECTION>>,0,0,Permanently discontinue,2.0
113,<<START_SECTION>>Myositis/ polymyositis<<END_SECTION>>,0,0,Myositis/ polymyositis,2.0
114,<<START_SECTION>>Grade 2 or 3<<END_SECTION>>,0,0,Grade 2 or 3,2.0
115,<<START_SECTION>>Withhold dosec<<END_SECTION>>,0,0,Withhold dosec,2.0
116,<<START_SECTION>>Initiate 1 to 4 mg/kg/day prednisone or equivalent followed by a taper<<END_SECTION>>,0,0,Initiate 1 to 4 mg/kg/day prednisone or equivalent followed by a taper,2.0
117,<<START_SECTION>>Grade 4<<END_SECTION>>,0,0,Grade 4,2.0
118,<<START_SECTION>>Permanently discontinue<<END_SECTION>>,0,0,Permanently discontinue,2.0
119,<<START_SECTION>>Infusion-related reactions<<END_SECTION>>,0,0,Infusion-related reactions,2.0
120,<<START_SECTION>>Grade 1 or 2<<END_SECTION>>,0,0,Grade 1 or 2,2.0
121,<<START_SECTION>>Interrupt or slow the rate of infusion<<END_SECTION>>,0,0,Interrupt or slow the rate of infusion,2.0
122,<<START_SECTION>>May consider premedications for prophylaxis of subsequent infusion<<END_SECTION>>,0,0,May consider premedications for prophylaxis of subsequent infusion,2.0
123,<<START_SECTION>>reactions<<END_SECTION>>,0,0,reactions,2.0
124,<<START_SECTION>>Grade 3 or 4<<END_SECTION>>,0,0,Grade 3 or 4,2.0
125,<<START_SECTION>>Permanently discontinue<<END_SECTION>>,0,0,Permanently discontinue,2.0
126,<<START_SECTION>>Infection<<END_SECTION>>,0,0,Infection,2.0
127,<<START_SECTION>>Grade 3 or 4<<END_SECTION>>,0,0,Grade 3 or 4,2.0
128,<<START_SECTION>>Withhold dose until clinically stable<<END_SECTION>>,0,0,Withhold dose until clinically stable,2.0
129,<<START_SECTION>>Other immunemediated  adverse reactionse<<END_SECTION>>,0,0,Other immunemediated  adverse reactionse,2.0
130,<<START_SECTION>>Grade 3<<END_SECTION>>,0,0,Grade 3,2.0
131,<<START_SECTION>>Withhold dosed<<END_SECTION>>,0,0,Withhold dosed,2.0
132,<<START_SECTION>>Initiate 1 mg/kg/day to 4 mg/kg/day prednisone or equivalent followed by a taper<<END_SECTION>>,0,0,Initiate 1 mg/kg/day to 4 mg/kg/day prednisone or equivalent followed by a taper,2.0
133,<<START_SECTION>>Grade 4<<END_SECTION>>,0,0,Grade 4,2.0
134,<<START_SECTION>>Permanently discontinue<<END_SECTION>>,0,0,Permanently discontinue,2.0
135,"<<START_SECTION>>a Common Terminology Criteria for Adverse Events, version 4.03. ALT: alanine aminotransferase; AST: aspartate aminotransferase; ULN: upper limit of normal.<<END_SECTION>>",0,0,"a Common Terminology Criteria for Adverse Events, version 4.03. ALT: alanine aminotransferase; AST: aspartate aminotransferase; ULN: upper limit of normal.",2.0
136,"<<START_SECTION>>b If no improvement within 3 to 5 days despite corticosteroids, promptly start additional immunosuppressive therapy. Upon resolution (Grade 0), corticosteroid taper should be initiated and continued over at least 1 month, after which IMFINZI can be resumed based on clinical judgment.<<END_SECTION>>",0,0,"b If no improvement within 3 to 5 days despite corticosteroids, promptly start additional immunosuppressive therapy. Upon resolution (Grade 0), corticosteroid taper should be initiated and continued over at least 1 month, after which IMFINZI can be resumed based on clinical judgment.",2.0
137,<<START_SECTION>>c Permanently discontinue IMFINZI if adverse reaction does not resolve to ó Grade 1 within 30 days or if there are signs of respiratory insufficiency.<<END_SECTION>>,0,0,c Permanently discontinue IMFINZI if adverse reaction does not resolve to ó Grade 1 within 30 days or if there are signs of respiratory insufficiency.,2.0
138,"<<START_SECTION>>d Permanently discontinue IMFINZI if adverse reaction does not resolve to ó Grade 1 within 30 days or if there are signs of respiratory insufficiency; and, in addition to these signs, for myasthenia gravis, if there are signs of autonomic insufficiency.<<END_SECTION>>",0,0,"d Permanently discontinue IMFINZI if adverse reaction does not resolve to ó Grade 1 within 30 days or if there are signs of respiratory insufficiency; and, in addition to these signs, for myasthenia gravis, if there are signs of autonomic insufficiency.",2.0
139,<<START_SECTION>>e Includes immune thrombocytopenia.<<END_SECTION>>,0,0,e Includes immune thrombocytopenia.,2.0
140,"<<START_SECTION>>For suspected immune-mediated adverse reactions, adequate evaluation should be performed to confirm aetiology or exclude alternate aetiologies. Upon improvement to ó Grade 1, corticosteroid taper should be initiated and continued over at least 1 month. Consider increasing dose of corticosteroids and/or using additional systemic immunosuppressants if there is worsening or no improvement. After withhold, IMFINZI can be resumed within 12 weeks if the adverse reactions improved to ó Grade 1 and the corticosteroid dose has been reduced to ó 10 mg prednisone or equivalent per day. IMFINZI should be permanently discontinued for recurrent Grade 3 or 4 (severe or life-threatening) immune-mediated adverse reactions.<<END_SECTION>>",0,0,"For suspected immune-mediated adverse reactions, adequate evaluation should be performed to confirm aetiology or exclude alternate aetiologies. Upon improvement to ó Grade 1, corticosteroid taper should be initiated and continued over at least 1 month. Consider increasing dose of corticosteroids and/or using additional systemic immunosuppressants if there is worsening or no improvement. After withhold, IMFINZI can be resumed within 12 weeks if the adverse reactions improved to ó Grade 1 and the corticosteroid dose has been reduced to ó 10 mg prednisone or equivalent per day. IMFINZI should be permanently discontinued for recurrent Grade 3 or 4 (severe or life-threatening) immune-mediated adverse reactions.",2.0
141,"<<START_SECTION>>For non-immune-mediated adverse reactions, withhold IMFINZI for Grade 2 and 3 adverse reactions until ó Grade 1 or baseline. IMFINZI should be discontinued for Grade 4 adverse reactions (with the exception of Grade 4 laboratory abnormalities, about which the decision to discontinue should be based on accompanying clinical signs/symptoms and clinical judgment). <<END_SECTION>>",0,0,"For non-immune-mediated adverse reactions, withhold IMFINZI for Grade 2 and 3 adverse reactions until ó Grade 1 or baseline. IMFINZI should be discontinued for Grade 4 adverse reactions (with the exception of Grade 4 laboratory abnormalities, about which the decision to discontinue should be based on accompanying clinical signs/symptoms and clinical judgment). ",2.0
142,<<START_SUBHEADING>>Special patient populations <<END_SUBHEADING>>,0,0,Special patient populations ,1.0
143,<<START_SUBHEADING>>Renal impairment <<END_SUBHEADING>>,0,0,Renal impairment ,1.0
144,<<START_SECTION>>No dose adjustment is recommended for patients with mild or moderate renal impairment (see Section 5.2 Pharmacokinetic properties). Durvalumab has not been studied in subjects with severe renal impairment. <<END_SECTION>>,0,0,No dose adjustment is recommended for patients with mild or moderate renal impairment (see Section 5.2 Pharmacokinetic properties). Durvalumab has not been studied in subjects with severe renal impairment. ,2.0
145,<<START_SUBHEADING>>Hepatic impairment <<END_SUBHEADING>>,0,0,Hepatic impairment ,1.0
146,"<<START_SECTION>>No dose adjustment is recommended for patients with hepatic impairment. Data from patients with moderate and severe hepatic impairment are limited, however, due to minor involvement of hepatic processes in the clearance of durvalumab, no difference in exposure is expected for these patients (see Section 5.2 Pharmacokinetic properties). <<END_SECTION>>",0,0,"No dose adjustment is recommended for patients with hepatic impairment. Data from patients with moderate and severe hepatic impairment are limited, however, due to minor involvement of hepatic processes in the clearance of durvalumab, no difference in exposure is expected for these patients (see Section 5.2 Pharmacokinetic properties). ",2.0
147,<<START_SUBHEADING>>Use in paediatric patients <<END_SUBHEADING>>,0,0,Use in paediatric patients ,1.0
148,<<START_SECTION>>The safety and efficacy of durvalumab have not been established in patients younger than 18 years of age.   <<END_SECTION>>,0,0,The safety and efficacy of durvalumab have not been established in patients younger than 18 years of age.   ,2.0
149,<<START_SUBHEADING>>Use in the elderly <<END_SUBHEADING>>,0,0,Use in the elderly ,1.0
150,<<START_SECTION>>No dose adjustment is required for elderly patients (ò65 years of age) (see Section 5.1 Pharmacodynamic properties - Clinical trials and Section 5.2 Pharmacokinetic properties). <<END_SECTION>>,0,0,No dose adjustment is required for elderly patients (ò65 years of age) (see Section 5.1 Pharmacodynamic properties - Clinical trials and Section 5.2 Pharmacokinetic properties). ,2.0
151,<<START_SUBHEADING>>Method of administration<<END_SUBHEADING>>,0,0,Method of administration,1.0
152,<<START_SUBHEADING>>Preparation of solution<<END_SUBHEADING>>,0,0,Preparation of solution,1.0
153,<<START_SECTION>>IMFINZI is supplied as single-dose vials and does not contain any preservatives. Aseptic technique must be observed.<<END_SECTION>>,0,0,IMFINZI is supplied as single-dose vials and does not contain any preservatives. Aseptic technique must be observed.,2.0
154,"<<START_SECTION>>? Visually inspect drug product for particulate matter and discolouration. IMFINZI is a clear to opalescent, colourless to slightly yellow solution. Discard the vial if the solution is cloudy, discoloured or visible particles are observed. Do not shake the vial.<<END_SECTION>>",0,0,"? Visually inspect drug product for particulate matter and discolouration. IMFINZI is a clear to opalescent, colourless to slightly yellow solution. Discard the vial if the solution is cloudy, discoloured or visible particles are observed. Do not shake the vial.",2.0
155,"<<START_SECTION>>? Withdraw the required volume from the vial(s) of IMFINZI and transfer into an intravenous (IV) bag containing 0.9% Sodium Chloride Injection, or 5% Dextrose Injection. Mix diluted solution by gentle inversion. The final concentration of the diluted solution should be between 1 mg/mL and 15 mg/mL. Do not freeze or shake the solution.<<END_SECTION>>",0,0,"? Withdraw the required volume from the vial(s) of IMFINZI and transfer into an intravenous (IV) bag containing 0.9% Sodium Chloride Injection, or 5% Dextrose Injection. Mix diluted solution by gentle inversion. The final concentration of the diluted solution should be between 1 mg/mL and 15 mg/mL. Do not freeze or shake the solution.",2.0
156,<<START_SECTION>>? Care must be taken to ensure the sterility of prepared solutions.<<END_SECTION>>,0,0,? Care must be taken to ensure the sterility of prepared solutions.,2.0
157,<<START_SECTION>>? Do not re-enter the vial after withdrawal of drug; only withdraw one dose per vial.<<END_SECTION>>,0,0,? Do not re-enter the vial after withdrawal of drug; only withdraw one dose per vial.,2.0
158,<<START_SECTION>>? Discard any unused portion left in the vial.<<END_SECTION>>,0,0,? Discard any unused portion left in the vial.,2.0
159,<<START_SECTION>>? No incompatibilities between IMFINZI and 9 g/L (0.9%) sodium chloride or 50 g/L (5%) dextrose in polyvinylchloride or polyolefin IV bags have been observed.<<END_SECTION>>,0,0,? No incompatibilities between IMFINZI and 9 g/L (0.9%) sodium chloride or 50 g/L (5%) dextrose in polyvinylchloride or polyolefin IV bags have been observed.,2.0
160,<<START_SECTION>><<END_SECTION>>,0,0,,2.0
161,<<START_SUBHEADING>>After preparation of infusion solution<<END_SUBHEADING>>,0,0,After preparation of infusion solution,1.0
162,"<<START_SECTION>>IMFINZI does not contain a preservative. Administer infusion solution immediately once prepared. If infusion solution is not administered immediately and it needs to be stored, the total time from vial puncture to the start of administration should not exceed:<<END_SECTION>>",0,0,"IMFINZI does not contain a preservative. Administer infusion solution immediately once prepared. If infusion solution is not administered immediately and it needs to be stored, the total time from vial puncture to the start of administration should not exceed:",2.0
163,<<START_SECTION>>? 24 hours at 2øC to 8øC<<END_SECTION>>,0,0,? 24 hours at 2øC to 8øC,2.0
164,<<START_SECTION>>? 12 hours at room temperature.<<END_SECTION>>,0,0,? 12 hours at room temperature.,2.0
165,<<START_SECTION>><<END_SECTION>>,0,0,,2.0
