text,label
"Hemodynamic assessments in patients with hypertension indicate that blood pressure reduction produced by quinapril is accompanied by a reduction in total peripheral resistance and renal vascular resistance with little or no change in heart rate, cardiac index, renal blood flow, glomerular filtration rate, or filtration fraction.",2
"The data described below reflect exposure to Alimta in 333 patients in PARAMOUNT. Median age was 61 years (range 32 to 83 years); 58% of patients were men; 94% were White, 4.8% were Asian, and <1% were Black or African American; 36% had an ECOG PS 0. The median number of maintenance cycles was 4 for Alimta and placebo arms. Dose reductions for adverse reactions occurred in 3.3% of patients in the Alimta arm and 0.6% in the placebo arm. Dose delays for adverse reactions occurred in 22% of patients in the Alimta arm and 16% in the placebo arm.",2
Peripheral edema,2
"Allergenic extracts may potentially elicit a severe life-threatening systemic reaction, rarely resulting in death1. Because of the possibility of severe systemic reactions, the patient should be instructed in the recognition of anaphylactic symptoms, observed in the office for at least 30 minutes after each injection, and warned to return to the office if symptoms of an allergic reaction occur.",2
Respiratory System:,1
"Skin and Appendages – Frequent: rash; Infrequent: acne, eczema, alopecia, maculopapular rash, dry skin, urticaria, exfoliative dermatitis, vesiculobullous rash; Rare: psoriasis.",2
Hydrochlorothiazide may raise the serum uric acid level due to reduced clearance of uric acid and may cause or exacerbate hyperuricemia and precipitate gout in susceptible patients.,2
"Cardiovascular: arrhythmia, bradycardia, chest pain, flushing, hypotension, myocardial infarction, vasculitis",2
6531 Park of Commerce Blvd.  Suite 160,2
WARNING: SEVERE MYELOSUPPRESSION,1
"If ADAKVEO is administered within 2 weeks after the missed dose, continue dosing according to the patient's original schedule.",2
"Allegra oral suspension, a white uniform suspension, contains 6 mg fexofenadine hydrochloride per mL and the following excipients: propylene glycol, edetate disodium, propylparaben, butylparaben, xanthan gum, poloxamer 407, titanium dioxide, sodium phosphate monobasic monohydrate, sodium phosphate dibasic heptahydrate, artificial raspberry cream flavor, sucrose, xylitol and purified water.",2
FOR INSTITUTIONAL USE ONLY,1
"Anemia and decreased RBC parameters, thrombocytopenia, increased platelet counts, decreased WBC counts, severe neutropenia, rare reports of agranulocytosis.",2
Nifedipine is metabolized via the cytochrome P450 3A4 system. Drugs that are known to either inhibit or induce this enzyme system may alter the first pass or clearance of nifedipine.,2
"t1/2 = half-life,",2
Concomitant Use of Fluticasone Propionate/Salmeterol Inhalation MDPI with Other Respiratory Medications:,2
"The possible side effects of Acetaminophen, Caffeine and Dihydrocodeine Bitartrate Tablets:",2
2000 IU Range,2
Using your AirDuo Respiclick inhaler:,2
Anticholinergic Drugs,1
"Allergenic Extract, Flaxseed,Coffee,Cottonseed Dosage and Administration",0
For palliative management of:,2
Enovachem™,2
CLINICAL TRIALS,0
DO NOT USE IF IMPRINTED SEAL IS BROKEN OR MISSING.,2
"Albuterol increased the AUC insulin administered by Afrezza by 25% in patients with asthma. Effect of fluticasone on insulin exposures following Afrezza administration has not been evaluated in patients with asthma; however, no significant change in insulin exposure was observed in a study in healthy volunteers. Frequent glucose monitoring and dose reduction may be necessary for Afrezza if it is co-administered with albuterol.",2
Prefilled Syringe,2
"Two-Pack
NDC 52054-803-02",2
"Each AirDuo Digihaler inhaler has a dose counter attached to the actuator. Patients should never try to alter the numbers for the dose counter. Discard the inhaler when the counter displays 0, 30 days after opening the foil pouch or after the expiration date on the product, whichever comes first. The labeled amount of medication in each actuation cannot be assured after the counter displays 0, even though the inhaler is not completely empty and will continue to operate [see Patient Counseling Information (17)].",2
Incidence 1% to<5%,1
PACKAGE/LABEL PRINCIPAL DISPLAY PANEL – 55.1-88 lbs dogs:,0
"Dose-related increase in mean QTc was observed. The maximum mean (95% upper confidence bound) change in QTcI (individual subject correction) from placebo after baseline-correction was 7.0 (9.8) ms and 13.0 (15.7) ms following anagrelide doses of 0.5 mg and 2.5 mg, respectively.",2
Anaphylaxis and Infusion Reactions,1
How is Acyclovir Capsules Supplied,0
Use of AirDuo Digihaler and Mobile App,2
LATITUDE: Patients with Metastatic High-risk CSPC,2
"Study 2 (NCT 02483585) was a randomized, multi-center, 3-month, placebo-controlled, double-blind study evaluating Aimovig for the preventive treatment of episodic migraine. A total of 577 patients with a history of episodic migraine were randomized to receive either Aimovig 70 mg (N = 286) or placebo (N = 291) by subcutaneous injection once monthly for 3 months. Patients were allowed to use acute headache treatments including migraine-specific medications (i.e., triptans, ergotamine derivatives) and NSAIDs during the study.",2
Not for Ophthalmic Use,2
"Acitretin must not be used by females who are pregnant, or who intend to become pregnant during therapy or at any time for at least 3 years following discontinuation of therapy. Acitretin also must not be used by females who may not use reliable contraception while undergoing treatment and for at least 3 years following discontinuation of treatment. Acitretin is a metabolite of etretinate (TEGISON), and major human fetal abnormalities have been reported with the administration of acitretin and etretinate. Potentially, any fetus exposed can be affected.",2
"Renal Insufficiency: Based on a cross-study comparison, there are no apparent differences in the pharmacokinetics of zafirlukast between renally-impaired patients and normal subjects.",2
"In three, 10-week, placebo-controlled studies of Abilify in elderly patients with psychosis associated with Alzheimer's disease (n=938; mean age: 82.4 years; range: 56 to 99 years), the adverse reactions that were reported at an incidence of ≥3% and Abilify incidence at least twice that for placebo were lethargy [placebo 2%, Abilify 5%], somnolence (including sedation) [placebo 3%, Abilify 8%], and incontinence (primarily, urinary incontinence) [placebo 1%, Abilify 5%], excessive salivation [placebo 0%, Abilify 4%], and lightheadedness [placebo 1%, Abilify 4%].",2
16. HOW SUPPLIED/STORAGE AND HANDLING,0
"To minimize the potential risk for an adverse CV event in NSAID-treated patients, use the lowest effective dose for the shortest duration possible. Physicians and patients should remain alert for the development of such events, throughout the entire treatment course, even in the absence of previous CV symptoms. Patients should be informed about the symptoms of serious CV events and the steps to take if they occur.",2
The recommended dosage of Aciphex delayed-release tablets is 20 mg once daily for 4 weeks.,2
Other adverse reactions not previously listed (and occurring in <3% of patients and in three or more patients on fluticasone propionate/salmeterol MDPI) that were reported more frequently by patients with asthma treated with fluticasone propionate/salmeterol MDPI compared with patients treated with placebo include the following:,2
Herpes Zoster:,2
Step 3. Gather the supplies you will need to inject AJOVY.,2
"The background risk of major birth defects and miscarriage for the indicated population is unknown. All pregnancies have a background risk of birth defect, loss, or other adverse outcomes. In the U.S. general population, the estimated risk of major birth defects and miscarriage in clinically recognized pregnancies is 2 to 4% and 15 to 20%, respectively.",2
"Renal
Overall 11% of patients experienced creatinine elevation, 1% severe. No discontinuations, dose reductions, or dose delays were caused by renal toxicities.",2
2.2 Use With Other Topical Ophthalmic Medications,1
"Opioid antagonists, such as naloxone, are specific antidotes to respiratory depression resulting from opioid overdose. For clinically significant respiratory or circulatory depression secondary to Acetaminophen and Codeine phosphate tablets overdose, administer an opioid antagonist.",2
structural formula:,2
Cimetidine reduces the clearance of Alfenta. Therefore smaller Alfenta doses will be required with prolonged administration and the duration of action of Alfenta may be extended.,2
"For Absorica LD, FDA approved dissolution test differs from the USP.",2
(See Figure S),1
"20
Coated Caplets*
*Capsule-Shaped Tablets",2
"In controlled trials in pediatric patients 3 to 12 years of age, the incidence of these adverse events was: emotional lability 6% (gabapentin-treated patients) vs 1.3% (placebo-treated patients); hostility 5.2% vs 1.3%; hyperkinesia 4.7% vs 2.9%; and thought disorder 1.7% vs 0%. One of these events, a report of hostility, was considered serious. Discontinuation of gabapentin treatment occurred in 1.3% of patients reporting emotional lability and hyperkinesia and 0.9% of gabapentin-treated patients reporting hostility and thought disorder. One placebo-treated patient (0.4%) withdrew due to emotional lability.",2
PRINCIPAL DISPLAY PANEL - 2.5 mL Carton,0
Bone histology was normal in the 49 patients biopsied at the end of one year who received alendronate at doses of up to 10 mg/day.,2
"The estimated background risk of major birth defects and miscarriage for the indicated population is unknown. Adverse outcomes in pregnancy can occur regardless of the heath of the mother or the use of medications. In the U.S. general population, the estimated background risk of major birth defects and miscarriage in clinically recognized pregnancies is 2-4% and 15-20%, respectively.",2
"1 Epinephrine Injection, USP Ampule 1mg/mL",2
Only,1
"Cardiovascular: atrial fibrillation, bradycardia, cardiac arrest, extrasystole, hypotension, migraine, palpitations, phlebitis, postural hypotension, tachycardia, cutaneous angiectases",2
Recommended Starting Dosage,1
"The usual adult dose is 1 tablet once or twice daily or as instructed by a licensed medical practitioner. If you are pregnant or nursing,ask a healthcare professional ",2
60 g Rx only,2
"Ocular Adverse Events: None of the patients treated with Actonel 75 mg two consecutive days per month reported ocular inflammation such as uveitis, scleritis, or iritis; 1 patient treated with Actonel 5 mg daily reported uveitis.",2
–to drink fluids liberally along with doxycycline to reduce the risk of esophageal irritation and ulceration. (See ADVERSE REACTIONS.),2
7. Contact Lenses,1
"Adzenys XR-ODT 6.3 mg Amphetamine Extended Release Orally Disintegrating Tablet: round, orange to light orange mottled (debossed A2 on one side)",2
Immunosuppression and Infections,2
"In a single arm study (SWISH; N = 92) in postmenopausal women with hormone receptor-positive, HER2-negative breast cancer beginning Afinitor (10 mg orally once daily) in combination with exemestane (25 mg orally once daily), patients started dexamethasone 0.5 mg/5 mL alcohol-free mouthwash (10 mL swished for 2 minutes and spat, 4 times daily for 8 weeks) concurrently with Afinitor and exemestane. No food or drink was to be consumed for at least 1 hour after swishing and spitting the dexamethasone mouthwash. The primary objective of this study was to assess the incidence of Grade 2 to 4 stomatitis within 8 weeks. The incidence of Grade 2 to 4 stomatitis within 8 weeks was 2%, which was lower than the 33% reported in the BOLERO-2 trial. The incidence of Grade 1 stomatitis was 19%. No cases of Grade 3 or 4 stomatitis were reported. Oral candidiasis was reported in 2% of patients in this study compared to 0.2% in the BOLERO-2 trial.",2
"Monitor growth in children during treatment with Adderall XR, and patients who are not growing or gaining weight as expected may need to have their treatment interrupted [see Warnings and Precautions (5.4)].",2
"For more information, contact Padagis at 1-866-634-9120",2
"Serum Potassium: In patients with hypertension not concomitantly treated with an ARB or ACEI, increases in serum potassium greater than 5.5 mEq/L were infrequent (0.9% compared to 0.6% with placebo) [see Contraindications (4) and Warnings and Precautions (5.6)].",2
Psychiatric Adverse Events,1
"Actidose® with Sorbitol and Actidose®-Aqua are indicated in the management of many types of poisoning emergencies when a toxin has been ingested or when indicated for a limited number of systemic poisonings resulting from parenteral overdosage or when the toxin has been totally absorbed. If physiologic conditions are optimal, activated charcoal most effectively adsorbs toxins with a molecular weight of 100 - 1,000 Daltons (AMU’s).1 Activated charcoal may not be as effective in adsorbing low molecular weight substances such as aliphatic alcohols (methanol, isopropanol, ethanol, etc.) metals (iron, lead, mercury, etc.) and elements such as lithium.2. Two animal studies have demonstrated that very toxic and low molecular weight cyanide compounds are adsorbed by activated charcoal.21,22 The use of activated charcoal in toxic emergencies involving these substances is not contraindicated. Many poisonings involve multiple substances, therefore, Actidose® with Sorbitol and Actidose®-Aqua may be effective in adsorbing some or all of the ingested toxins.",2
"Transfer of patients from systemic steroid therapy to Aerobid Inhaler may unmask allergic conditions previously suppressed by the systemic steroid therapy, e.g. rhinitis, conjunctivitis, and eczema.",2
Pharmaceuticals USA Inc.,2
         •   pH: 2.2,2
"Each mL of ALA-SCALP (Hydrocortisone Lotion USP), 2% contains 20 mg hydrocortisone USP in a vehicle of isopropyl alcohol, polysorbate 20, purified water, propylene glycol, and benzalkonium chloride.",2
REMOVAL OF CERUMEN: Before: Instill Antipyrine and Benzocaine Otic Solution three times daily for two to three days to help detach cerumen from wall of canal and facilitate removal.,2
"Inform patients of the risk of severe and potentially fatal renal impairment. Advise patients to contact their health care provider for change in urine color, reduced urine output, or swelling in the legs and feet [see Warnings and Precautions (5.3)].",2
ALKERAN and Diluent,2
"Central Nervous System: Reversible mental depression progressing to catatonia (an acute syndrome characterized by disorientation for time and place), short-term memory loss, emotional lability, slightly clouded sensorium, and decreased performance (neuropsychometrics).",2
The pharmacokinetic properties of Advate were investigated at the beginning of treatment in a multicenter trial of previously treated subjects and at the end of treatment in a subset of subjects (N=34) who had completed at least 75 exposure days of treatment with Advate. [Clinical Pharmacology (12.3)],2
8. Depress plunger rod to deliver medication. Ensure that pressure is maintained on the plunger rod during the entire administration.,2
Children's,1
"Actimmune®
(Interferon gamma-1b)",2
Store Allegra tablets at controlled room temperature 20–25°C (68–77°F). (See USP Controlled Room Temperature). Foil-backed blister packs containing Allegra tablets should be protected from excessive moisture.,2
Gemfibrozil:,1
Albenza Dosage and Administration,0
Polyethylene Glycol 400 1%,2
"Any birth control method can fail. Therefore, it is critically important that women of childbearing potential use 2 effective forms of contraception (birth control) simultaneously. It has not been established if there is a pharmacokinetic interaction between acitretin and combined oral contraceptives. However, it has been established that acitretin interferes with the contraceptive effect of microdosed progestin preparations.1 Microdosed “minipill” progestin preparations are not recommended for use with acitretin. It is not known whether other progestin-only contraceptives, such as implants and injectables, are adequate methods of contraception during acitretin therapy. Prescribers are advised to consult the package insert of any medication administered concomitantly with hormonal contraceptives, since some medications may decrease the effectiveness of these birth control products. Patients should be prospectively cautioned not to self-medicate with the herbal supplement St. John’s wort because a possible interaction has been suggested with hormonal contraceptives based on reports of breakthrough bleeding on oral contraceptives shortly after starting St. John’s wort. Pregnancies have been reported by users of combined hormonal contraceptives who also used some form of St. John’s wort (see PRECAUTIONS).",2
Aciphex®,2
everolimus,2
Lamivudine: ,2
"All opioid mu-receptor agonists, including fentanyl, produce dose-dependent respiratory depression. The risk of respiratory depression is less in patients receiving chronic opioid therapy who develop tolerance to respiratory depression and other opioid effects. Peak respiratory depressive effects may be seen as early as 15 to 30 minutes from the start of oral transmucosal fentanyl citrate administration and may persist for several hours.",2
Not for Acute Symptoms,1
eek Dosing,1
"It is common for patients to experience local skin reactions such as erythema, erosion, excoriation/flaking, and edema at the site of application or surrounding areas. Most skin reactions are mild to moderate.",2
"The inhibitory activity of acyclovir is highly selective due to its affinity for the enzyme thymidine kinase (TK) encoded by HSV and VZV. This viral enzyme converts acyclovir into acyclovir monophosphate, a nucleotide analogue. The monophosphate is further converted into diphosphate by cellular guanylate kinase and into triphosphate by a number of cellular enzymes. In vitro, acyclovir triphosphate stops replication of herpes viral DNA. This is accomplished in 3 ways: 1) competitive inhibition of viral DNA polymerase, 2) incorporation into and termination of the growing viral DNA chain, and 3) inactivation of the viral DNA polymerase.",2
Anticholinergic Drugs,2
Monoamine  Oxidase Inhibitors,1
"8718X
70899US13P",2
"Studies have shown that following ingestion of the drug, 45 % to 79 % of the dose was recovered in the",2
12 CLINICAL PHARMACOLOGY,0
"Medicines are sometimes prescribed for purposes other than those listed in a Patient Information leaflet. Do not use Accrufer for a condition for which it was not prescribed. Do not give Accrufer to other people, even if they have the same symptoms that you have. It may harm them. You can ask your healthcare provider or pharmacist for information about Accrufer that is written for health professionals.",2
A pre-fitting patient history and examination are necessary to:,2
"Nervous: Aggressive behavior, agitation, ataxia, coma, confusion, decreased consciousness, delirium, dizziness, dysarthria, encephalopathy, hallucinations, paresthesia, psychosis, seizure, somnolence, tremors. These symptoms may be marked, particularly in older adults or in patients with renal impairment (see PRECAUTIONS).",2
"Antihemophilic Factor (Recombinant),
Single Chain",2
"Placebo-controlled clinical trials have shown that prophylactic administration of acetazolamide at a dose of 250 mg every eight to 12 hours (or a 500 mg controlled-release capsule once daily) before and during rapid ascent to altitude results in fewer and/or less severe symptoms (such as headache, nausea, shortness of breath, dizziness, drowsiness, and fatigue) of acute mountain sickness (AMS). Pulmonary function (e.g., minute ventilation, expired vital capacity and peak flow) is greater in the acetazolamide treated group, both in subjects with AMS and asymptomatic subjects. The acetazolamide treated climbers also had less difficulty in sleeping.",2
"Grape-Flavored Liquid
for ages 2-11 years",2
Patients with Parkinson's disease may experience psychomotor agitation or a temporary worsening of symptoms [see Warnings and Precautions (5.5)].,2
"Do not let this product get in your dog’s mouth or eyes. Do not allow the dog to lick any of the application sites for 30 minutes. In households with multiple pets, keep each treated dog separated from other treated dogs and other pets for 30 minutes after application to prevent licking the application sites.
(See WARNINGS.)",2
Vigorous supportive therapy is required in severe intoxication. Procedures to limit the continuing absorption of the drug must be readily performed since the hepatic injury is dose dependent and occurs early in the  course of intoxication.,2
Alendronate Oral Solution Description,0
"Agrylin was effective in phlebotomized patients as well as in patients treated with other concomitant therapies including hydroxyurea, aspirin, interferon, radioactive phosphorus, and alkylating agents.",2
"Adlyxin 10 mcg did not change the overall exposure (AUC) of acetaminophen following administration of a single dose of acetaminophen 1000 mg, whether before or after Adlyxin. No effects on acetaminophen Cmax and tmax were observed when acetaminophen was administered 1 hour before Adlyxin. When administered 1 or 4 hours after 10 mcg of Adlyxin, Cmax of acetaminophen was decreased by 29% and 31%, respectively, and median tmax was delayed by 2.0 and 1.75 hours, respectively.",2
Aivlosin® is a registered trademark of ECO Animal Health Ltd.,2
Primary endpoint result and JIA ACR response rates at Week 12 are shown in Table 10.,2
-Patients should promptly report signs or symptoms of unexplained weight gain or edema to their physicians.,2
More about Allegra (fexofenadine),0
"© 2010 Boehringer Ingelheim Vetmedica, Inc. All Rights Reserved.",2
"How is Allergenic Extract, Epithelium Supplied",0
Warning: Keep out of reach of children.,2
Trial 2,1
LIQUI•GELS®,1
The increases in incidence were slight were slight and still within the ranges reported in the table.,2
How should I take Accrufer?,2
-for pain right before or after heart bypass surgery,2
Cadila Healthcare Ltd.,1
Amprenavir is a sulfonamide. The potential for cross-sensitivity between drugs in the sulfonamide class and amprenavir is unknown. Agenerase should be used with caution in patients with a known sulfonamide allergy.,2
Akovaz Dosage and Administration,0
"
INTRODUCTION",1
REVISED: Nov 2020,2
"Clinical assessments in Study 3 were exploratory. Results for clinical assessments were directionally aligned with the findings from Study 1, with less change from baseline in CDR-SB and MMSE scores at 1 year in the Aduhelm 10 mg/kg fixed-dose group than in patients on placebo (CDR-SB: -1.26, 95% CI [-2.356, -0.163]; MMSE: 1.9, 95% CI [0.06, 3.75]).",2
"Although there was no effect on sperm motility or sperm density in the epididymis, there was a significant increase in the percentage of abnormal sperm in mice consuming 1.78 times the MHDD (based on a body surface comparison) and there was a reduction in the number of mating pairs producing a fifth litter at this dose, suggesting the potential for cumulative toxicity with chronic administration of acetaminophen near the upper limit of daily dosing.",2
FAS = full analysis set; FEV1 = forced expiratory volume in 1 second; Placebo = placebo MDPI,2
People who are blind or have vision problems should not use Admelog SoloStar prefilled pen without help from a person trained to use Admelog SoloStar prefilled pen.,2
What should I tell my doctor before taking Actoplus Met XR?,2
"The median time to opiate use for prostate cancer pain was not reached for patients receiving Abiraterone acetate and was 23.7 months for patients receiving placebo (HR=0.686; 95% CI: [0.566, 0.833], p=0.0001). The time to opiate use result was supported by a delay in patient reported pain progression favoring the Abiraterone acetate arm.",2
The most common side effects of Adacel vaccine are:,2
PREGNANCY,1
"Epinephrine is rapidly inactivated in the body and treatment following overdose with epinephrine is primarily supportive.  Treatment of pulmonary edema consists of a rapidly acting alpha-adrenergic blocking drug (such as phentolamine mesylate) and respiratory support. Treatment of arrhythmias consists of administration of a beta-adrenergic blocking drug (such as propranolol). If necessary, pressor effects may be counteracted by rapidly acting vasodilators or α-adrenergic blocking drugs.  If prolonged hypotension follows such measures, it may be necessary to administer another pressor drug.",2
A.M. plasma cortisol test,2
Accolate Dosage and Administration,0
Infectious Diseases,1
(See Figure A).,1
Coagulation Abnormalities,1
"Aldactazide tablets containing 50 mg of spironolactone (ALDACTONE) and 50 mg of hydrochlorothiazide are oblong, tan, scored, film coated, with SEARLE and 1021 debossed on the scored side and Aldactazide and 50 on the other side, supplied as:",2
"In responsive patients, flunisolide may permit control of asthmatic symptoms without suppression of HPA function. Since flunisolide is absorbed into the circulation and can be systemically active, the beneficial effects of Aerobid Inhaler in minimizing or preventing HPA dysfunction may be expected only when recommended dosages are not exceeded.",2
Taking Accrufer with certain other medicines may affect each other causing serious side effects.,2
"The patient's reaction is graded on the basis of size of wheal and flare as compared to control. Use 0.05 ml sterile diluent as a negative control to give accurate interpretation. The tests may be accurately interpreted only when the saline control site has shown a negative response. Observe patient for at least 30 minutes. Tests can be read in 15-20 minutes. Edema, erythema and presence of pseudopods, pain and itching may be observed in 4 plus reactions. For uniformity in reporting reactions the following system is recommended. (6)",2
Afeditab CR - Clinical Pharmacology,0
"The vasodilating effect of alcohol may potentiate postural hypotension, particularly in association with some antihypertensive drugs.",2
Urogenital: Impotence.,2
Post-Approval Experience,1
"If your total prescribed dose is more than 10 mg, repeat steps 4 through 10 to finish taking your dose.",2
Mylan.com,1
"Store at 20° to 25°C (68° to 77°F). [See USP Controlled Room Temperature].
Protect from light.",2
Skin,2
 Potential for Abuse and Dependence,1
ABSTRAL® (AB-stral) CII,2
"The requirement for transfusions (9.5% versus 3.2%), primarily red blood cell transfusions, and for erythropoiesis stimulating agents (5.9% versus 1.8%) were higher in the Alimta arm compared to the placebo arm.",2
"For severe or life-threatening CRS, consider intensive care unit level monitoring and supportive therapy.",2
Injection: 100 mcg/mL in 3 mL solution in a burgundy single-patient-use prefilled pen (for 14 doses of 20 mcg per dose),2
"Advise patients of serious cardiovascular risk (including sudden death, myocardial infarction, stroke, and hypertension) with Adzenys XR-ODT. Instruct patients to contact a healthcare provider immediately if they develop symptoms such as exertional chest pain, unexplained syncope, or other symptoms suggestive of cardiac disease [see Warnings and Precautions (5.2)].",2
What is Adempas?,1
"Instructions for Use
Aimovig® (AIM-oh-vig) (erenumab-aooe)
Injection, For Subcutaneous Use
Single-Dose Prefilled Syringe
70 mg/mL and 140 mg/mL",0
"administration. This effect has been attributed to inhibition of renal prostaglandin synthesis by ibuprofen. Thus, when ibuprofen and lithium are",2
undamaged package.,2
Incidence 3-9%,1
"daily, as compared with 2400 mg, although in well - controlled clinical trials patients on 3200 mg did not show a better mean response in terms of efficacy.",2
down.,1
DRUG INTERACTIONS,1
The adult dosage ranges from 1 to 2 liters/day (24 hours) as determined by the needs of the patient. The average adult daily fluid requirement of 3 liters/day should be provided by other suitable solutions to meet daily maintenance requirements for electrolytes.,2
"The most common adverse events leading to withdrawal were related to inadequate glycemic control, although the incidence of these events was lower (1.5%) with pioglitazone than with placebo (3.0%).",2
"Cardiovascular: Hypotension including orthostatic hypotension (may be aggravated by alcohol, barbiturates, narcotics, or antihypertensive drugs).",2
"NSAIDs inhibit platelet aggregation  and have been shown to prolong bleeding time in some patients. Unlike aspirin, their effect on platelet function is",2
"As a hyperosmotic cathartic sorbitol produces a hygroscopic action resulting in increased water in the large intestine and increased intraluminal pressure which stimulates catharsis. Studies have been conducted in healthy adult human volunteers using therapeutic amounts of activated charcoal and sorbitol.8,9 Catharsis of activated charcoal occurred in an average of 1.0 - 1.5 hours and persisted for 8 - 12 hours. Fourteen poisoned patients are reported in one series representing a wide range of toxins and dosages of sorbitol resulting in the onset of catharsis in an average of 7.7 hours.10 The onset of action may be expected to be longer in patients who have ingested toxins which decrease bowel motility, such as pharmacological agents and plants with anticholinergic properties, and drugs like narcotics.20",2
Swine,1
"Caffeine: cardiac stimulation, irritability, tremor, dependence, nephrotoxicity, hyperglycemia.",2
Indications and Usage for Adapalene and Benzoyl Peroxide Gel,0
Actoplus Met XR - Clinical Pharmacology,0
Made in the US,2
HENRY SCHEIN®,2
"Opioids have been shown to have a variety of effects on components of the immune system in in vitro and animal models. The clinical significance of these findings is unknown. Overall, the effects of opioids appear to be modestly immunosuppressive.",2
It is important to begin breathing in through your mouth right before pressing down on the metal canister. This helps you get the right amount of medicine.,2
Neonatal Opioid Withdrawal Syndrome,2
Endocrine Disorders,1
"Eye Disorders: diplopia, mydriasis, visual impairment",2
Pediactric Use: Alfuzosin hydrochloride extended-release tablets are not indicated for use in the pediatric population [see Indication and Usage (1.1) and Use in Specific Population (8.4)].,2
"Double-blind, placebo-controlled studies in patients with frequent recurrences (6 or more episodes per year) have shown that orally administered acyclovir given daily for 4 months to 10 years prevented or reduced the frequency and/or severity of recurrences in greater than 95% of patients.",2
"In clinical trials, the following adverse reactions to albuterol sulfate syrup (oral solution) were noted more frequently in young children 2 to 6 years of age than in older children and adults:",2
"Based on the placebo-controlled trial of Abilify Maintena in schizophrenia, the most commonly observed adverse reactions associated with the use of Abilify Maintena in patients (incidence of 5% or greater and aripiprazole incidence at least twice that for placebo) were increased weight (16.8% vs. 7.0%), akathisia (11.4% vs. 3.5%), injection site pain (5.4% vs. 0.6%) and sedation (5.4% vs. 1.2%).",2
"In adults, intravenous infusion of 8 g of Albumin (Human) 25% may be given for every 1,000 mL of ascitic fluid removed.",2
Figure N,2
Table 3 shows adverse reactions on the Abiraterone acetate arm in COU-AA-302 that occurred in ≥5% of patients with a ≥2% absolute increase in frequency compared to placebo. The median duration of treatment with Abiraterone acetate with prednisone was 13.8 months.,2
Albuminar-5 Dosage and Administration,0
Vascular disorders: hypotension.,2
How do MAXIMUM STRENGTH Ranitidine Tablets 150 mg work?,2
"After 36 weeks of dosing, serum cortisol concentrations in a subset of subjects with COPD (n = 83) were 22% lower in subjects receiving Advair Diskus 500/50 and 21% lower in subjects receiving fluticasone propionate 500 mcg than in subjects receiving placebo.",2
"Consequently, Actos should not be used in patients with active bladder cancer and the benefits of glycemic control versus unknown risks for cancer recurrence with Actos should be considered in patients with a prior history of bladder cancer.",2
Abilify Maintena Description,0
"Carton Contains:
90 – 12 unit Cartridges + 2 Inhalers",2
